Name,Latitude,Longitude
Aliados,41.1484572,-8.6107464
Batalha,41.1452259,-8.6071071
Guindais,41.1410038,-8.609472499999999
Sé,41.142826,-8.6111836
Mouzinho Silveira,41.1434921,-8.613196199999999
Ribeira,41.1406379,-8.6130974
Cordoaria,41.1456644,-8.6166558
Alfândega,41.1430389,-8.6217094
H.S. António,41.1470767,-8.6191285
Carlos Alberto,41.1486773,-8.6155162
Cedofeita,41.1555894,-8.6144229
Trindade,41.152277,-8.609299
Bolhão,41.1493794,-8.6070799
Alvares Cabral,41.15453710000001,-8.6148119
Campo 24 Agosto,41.1492157,-8.598716699999999
Bonfim,41.1510153,-8.5940618
Bonjóia,41.151648,-8.5794291
Noeda,41.1472403,-8.5837261
Colégio Órfãos,41.141367,-8.595479899999999
Soares Reis,41.1461614,-8.595627799999999
Fontainhas,41.142574,-8.6012407
Santos Pousada,41.1545573,-8.5994546
Doze Casas,41.1587961,-8.6028934
Marquês,41.1611894,-8.604579
Costa Cabral,41.168936,-8.5906174
Velásquez,41.1631654,-8.591776399999999
Antas,41.1624827,-8.5887198
Flores,41.144285,-8.6130516
Joaquim Urbano,41.154634,-8.593711899999999
Ramada Alta,41.160475,-8.6217363
Monte Burgos,41.1747094,-8.6275216
Carvalhido,41.1684835,-8.6254265
9 de Abril,41.1718395,-8.611161899999999
Campo Lindo,41.1677555,-8.6106058
João Pedro Ribeiro,41.1610447,-8.6073855
Bonjardim,41.1536117,-8.6078896
Monte Cativo,41.1610136,-8.616725700000002
Constituição,41.16315729999999,-8.6145094
Vale Formoso,41.165956,-8.611994
Oliveira Monteiro,41.1610501,-8.6247327
MouzinhoAlbuquerque,41.1579742,-8.6291116
Bessa,41.1652806,-8.6435932
Sidónio Pais,41.1642698,-8.636278299999999
Prelada,41.1700081,-8.631602899999999
Av. França,41.1628664,-8.6276543
D. Pedro V,41.1492274,-8.6309071
Arrábida,41.147382,-8.640267
CDUP,41.15076910000001,-8.642412799999999
Venezuela,41.1574486,-8.643311299999999
Agramonte,41.155647,-8.6332484
Campo Alegre,41.147526,-8.587562
Rodrigues Freitas,41.145831,-8.6003439
Júlio Dinis,41.15288229999999,-8.6263031
Restauração,41.1455059,-8.624994599999999
Fluvial,41.1506801,-8.655278
Foz Velha,41.1506219,-8.666482499999999
Foz Nova,41.1466648,-8.6582986
Parque Cidade,41.16867389999999,-8.6788358
Vilarinha,41.1666442,-8.6698635
Antunes Guimarães,41.1683182,-8.6590481
Foco,41.1619554,-8.6467577
Gomes da Costa,41.1562966,-8.661444099999999
Pasteleira,41.153523,-8.6537279
Império,41.1501665,-8.607650399999999
Boavista Oeste,41.1571077,-8.6306244
Requesende,41.1764257,-8.638334200000001
Zona Industrial,41.1778744,-8.652316700000002
Santa Luzia,41.148833,-8.6040498
Miosótis,41.177265,-8.6195754
Alameda 25 Abril,41.1782764,-8.611163699999999
Paranhos,41.1753841,-8.607517
Pólo Universitário,41.174247,-8.603607
Areosa,41.1777392,-8.5850099
Fernão Magalhães,41.1647991,-8.5891836
Contumil,41.1655264,-8.5848135
S. Roque,41.1593361,-8.5882424
Maceda,41.1610659,-8.5724248
Cerco do Porto,41.1629531,-8.5654477
Corujeira,41.1573861,-8.583395099999999
Freixo,41.1426288,-8.5747939
Azevedo,41.15183020000001,-8.5714569
Lagarteiro,41.1532853,-8.567043500000002
Ponte do Infante,41.1419457,-8.6018135
Ponte Luís I (INF.),41.1399589,-8.6094485
Ponte Arrábida,41.147382,-8.640267
Matosinhos Marginal,41.174073,-8.68805
Matosinhos II,41.1754344,-8.6737054
Pedro Hispano,41.1633733,-8.6341177
Via Rápida,41.1733518,-8.6491521
Sra. Hora Oeste,41.18430130000001,-8.6564839
Sra. Hora Este,41.136363,-8.628185000000002
Av. Xanana Gusmão,41.1900936,-8.6362249
Via Norte,41.1758816,-8.6225349
S. Mamede,41.1914703,-8.6133188
IC 29,41.1582605,-8.566196
Ponte do Freixo,41.1420107,-8.580919
A3/A4,41.1807909,-8.5946292
EN 115,41.181395,-8.583071
EN 15,41.166621,-8.566188
EN108,41.142799,-8.572578
EN 209,41.143216,-8.572545
Amial,41.176349,-8.619015
Marginal,41.141826,-8.605029
Viso,41.177171,-8.646182
Covelo,41.167473,-8.606358
Padrão,41.147118,-8.60196
S. João Deus,41.178127,-8.571799
Salgueiros,41.169708,-8.598959
Rebordões,41.1764803,-8.5726525
